,Rn_V_myTSEB,Rn_S_myTSEB,LE_V_myTSEB,LE_S_myTSEB,H_V_myTSEB,H_S_myTSEB,G_myTSEB,Trad_V_myTSEB,Trad_S_myTSEB
5192,262.5960982824848,206.07421282534867,148.3291335701694,138.351527648351,114.26696471231537,0.30291535343569986,67.41976982356195,293.8475036621094,293.3981933198333
5193,31.07137999963853,-95.21941240503851,0.0,-785.4177988833623,31.07137999963853,723.5251808200873,-33.326794341763474,301.6576232910156,314.9901524387879
5194,145.00671205605713,14.891228733170607,0.0,-41.73330691222547,145.00671205605713,51.41260558878636,5.211930056609712,308.18609619140625,311.2718146623535
5195,522.702342255358,-227.3474138669213,0.0,-2004.3822542758762,522.702342255358,1856.6064352623773,-79.57159485342245,312.9778137207031,354.2063516424364
5196,396.5727554755021,168.71301795589778,0.0,-339.03167126714237,396.5727554755021,448.6951329384759,59.04955628456422,301.14202880859375,313.43048007452586
5197,201.56224626313127,198.87051038413387,137.12341557270835,121.36407309761175,64.43883069042292,9.053390694629078,68.45304659189304,304.6407165527344,305.0535908233455
5198,231.8879860010568,138.86890183658934,0.0,-80.6442536044029,231.8879860010568,170.90903979818597,48.60411564280627,288.6103210449219,297.0784632948411
5199,96.68416173874513,53.31137718511303,0.0,-477.045030260447,96.68416173874513,511.69742543077047,18.658982014789558,297.7463684082031,308.6835858771097
5200,107.71815625861328,-71.9328524703616,0.0,-688.40637069154,107.71815625861328,641.650016585805,-25.176498364626557,314.6655578613281,327.3752686591424
5201,153.5279454360129,119.50762435316707,0.0,-200.8364067786083,153.5279454360129,278.5163626081669,41.82766852360847,304.73822021484375,317.24813683965573
5202,138.14697871097792,203.7716890983092,23.305025930047222,161.6716040783037,114.8419527809307,-8.919254320502617,51.0193393405081,295.85504150390625,290.2687080794051
5203,290.90837869438764,-72.0263095783307,0.0,-721.0925322435695,290.90837869438764,674.2754310176546,-25.209208352415743,288.98834228515625,309.1579621853988
